region,price,cluster
A-9360 Friesach,744.0,0
Aartselaar,1618.0,4
Aci Castello,3608.0,1
Ahorn,1017.0,0
Aich,1291.0,0
Aiseau-Presles,856.0,0
Aix-la-Chapelle,1566.0,4
Aix-les-Bains,1976.0,4
Alba,797.0,0
Albertville,1613.0,4
Albori,2240.0,2
Albufeira,6587.0,3
Albuñol,1395.0,4
Aldeia do Meco,1395.0,4
Alegrete,1211.0,0
Algeciras,1643.0,4
Alpbach,1410.0,4
Altenberg,851.0,0
Altlandsberg,980.0,0
Ampognano,1256.0,0
Annemasse,1318.0,0
Ans,1438.0,4
Ansfelden,1176.0,0
Anthofrotte,992.0,0
Anvers,1635.1818181818182,4
Anzère,1770.0,4
Arcos de Valdevez,3276.0,1
Arezzo,1320.0,0
Armação de Pêra,5406.0,3
Arraiolos,4743.0,1
Aspach,1386.0,4
Asse,1215.0,0
Auderghem,2824.0,2
Avis,2765.0,2
Aywaille,891.0,0
Azuqueca de Henares,1166.0,0
Bad Hersfeld,1395.0,4
Bad Liebenzell,1208.0,0
Bad Mitterndorf,1612.0,4
Bad Oldesloe,1923.0,4
Bad Salzdetfurth,1063.0,0
Bad Vöslau,1030.0,0
Bad Wildungen,375.0,0
Bad Zell,951.0,0
Baden,1931.0,4
Baden bei Wien,1607.0,4
Bagno a Ripoli,1310.0,0
Balingen,1113.0,0
Barberino Tavarnelle,4480.0,1
Barcelone,2907.0,2
Bari,2013.5,4
Barum,1135.0,0
Bassenheim,617.0,0
Benalmádena,2432.0,2
Berg bei Rohrbach,2356.0,2
Berlaar,1387.0,4
Berne,2650.0,2
Biel,1776.3333333333333,4
Billens-Hennens,1217.0,0
Blatten bei Naters,1438.0,4
Blevio,3869.0,1
Bologne,2522.0,2
Bommes,2727.0,2
Bonfol,1438.0,4
Bonn,922.0,0
Bonndorf im Schwarzwald,1095.0,0
Boppard,1163.0,0
Bormujos,1459.0,4
Braga,1556.0,4
Braives,1274.0,0
Bremgarten,1571.0,4
Brides-les-Bains,2137.0,4
Bruxelles,1390.0,4
Burgthann,2728.0,2
Bussigny,2096.0,4
Bâle,2643.0,2
Bühl,1302.0,0
Bühler,1155.0,0
Calldetenes,2065.0,4
Caltrano,1119.0,0
Carcavelos,1618.0,4
Carmagnola,777.0,0
Cascais,2635.0,2
Castelnuovo Berardenga,3024.0,2
Castro Mirim,1758.0,4
Catane,1303.0,0
Cava D'aliga,2696.0,2
Cavi-casalone,3048.0,2
Caviano,1366.0,0
Celorico de Basto,1325.0,0
Cerfontaine,1091.0,0
Cesate,1377.0,0
Charly-sur-Marne,1845.0,4
Chemnitz,981.0,0
Cherbourg-Octeville,1212.0,0
Churwalden,1954.0,4
Châtillon-sur-Cluses,3086.0,2
Ciggiano,1054.0,0
Cisternino,2635.0,2
Combloux,1263.0,0
Comines-Warneton,699.0,0
Contignano,3722.0,1
Cormondrèche,1086.0,0
Cortona (AR),2646.0,2
Courcelles,868.0,0
Courroux,1897.0,4
Cressier,1486.0,4
Crémines,1171.0,0
Davos Platz,1729.5,4
Deißlingen,1139.0,0
Dieppe,1946.0,4
Dietersdorf,911.0,0
Dietwil,2309.0,2
Dinant,2222.5,2
Donzdorf,984.0,0
Dozza,1364.0,0
Dunkerque,2092.0,4
Durbuy,880.0,0
Dílar,1149.0,0
Eichberg bei Hartmannsdorf,1585.0,4
Eisenach,902.0,0
Elsene,1535.0,4
Engelskirchen,1269.0,0
Entraigues-sur-la-Sorgue,1855.0,4
Erfurt,1362.0,0
Ericeira,3367.0,1
Ermatingen,1958.0,4
Escholzmatt,1463.0,4
Esneux,1370.0,0
Essen,1428.5,4
Estavayer,1327.0,0
Estepona,3021.0,2
Estoril,3090.4,2
Estreito da Calheta,2648.0,2
Etterbeek,1554.75,4
Faimes,2083.0,4
Falkenstein,495.0,0
Fay,1974.0,4
Feldbach,1476.0,4
Felsberg,1806.0,4
Ferenbalm,1747.0,4
Figline Valdarno,1584.0,4
Filzbach,1235.0,0
Finkenberg,1240.0,0
Fischenthal,1969.0,4
Flaach,2086.0,4
Flims,1880.0,4
Florence,2641.6,2
Forio,3888.0,1
Fosdinovo,1289.0,0
Francavilla Fontana,5805.0,3
Freiburg im Breisgau,1163.0,0
Freising,1152.0,0
Friedrichskoog,1064.0,0
Frolois,1116.0,0
Funchal,3943.0,1
Gamlitz,1575.0,4
Gand,1477.75,4
Gaula,4383.333333333333,1
Geldern,1482.0,4
Gerano,1233.0,0
