,price,old_price,Type,pays,region,voyageurs,rooms,bed,bathroom,period_start,period_end,new_rating
0,2920.0,6084.0,cottage,Espagne,Madrid,9,3,8,2,2024-07-31,2024-08-31,4.97
1,1500.0,1705.0,hébergement,Espagne,Trevélez,2,1,1,1,2024-07-31,2024-08-31,4.89
2,1968.0,3280.0,loft,Espagne,Madrid,2,1,1,1,2024-07-31,2024-08-31,4.81
3,2353.0,2870.0,loft,Espagne,Séville,4,2,3,1,2024-07-31,2024-08-31,4.96
4,2129.0,2505.0,appartement,Espagne,Madrid,2,1,1,1,2024-07-31,2024-08-31,4.83
5,1395.0,2325.0,appartement en résidence,Espagne,Albuñol,2,1,2,1,2024-07-31,2024-08-31,4.67
6,1736.0,2170.0,hébergement,Espagne,Lanjarón,5,2,4,2,2024-07-31,2024-08-31,4.87
8,2047.0,2274.0,loft,Espagne,Madrid,4,2,2,1,2024-07-31,2024-08-31,4.86
9,2635.0,7750.0,appartement,Espagne,València,3,1,1,1,2024-07-31,2024-08-31,4.72
14,3341.0,3930.0,appartement,Espagne,Malaga,3,1,1,1,2024-07-31,2024-08-31,4.86
15,1802.0,2815.0,loft,Espagne,Madrid,2,1,1,1,2024-07-31,2024-08-31,4.85
21,1380.0,2759.0,appartement,Espagne,Madrid,2,1,1,2,2024-07-31,2024-08-31,4.9
22,2082.0,2449.0,appartement,Espagne,Madrid,2,1,1,2,2024-07-31,2024-08-31,4.87
23,2954.0,4544.0,appartement en résidence,Espagne,Benalmádena,3,1,2,1,2024-07-31,2024-08-31,4.83
24,2768.0,3690.0,appartement,Espagne,Madrid,2,1,1,1,2024-07-31,2024-08-31,4.86
29,1473.0,2894.0,appartement,Espagne,Madrid,2,1,1,1,2024-07-31,2024-08-31,4.21
31,1730.0,2883.0,loft,Espagne,Madrid,2,1,1,1,2024-07-31,2024-08-31,4.83
33,2015.0,2289.0,appartement,Espagne,Madrid,3,1,3,1,2024-07-31,2024-08-31,4.91
34,2161.0,2542.0,loft,Espagne,Madrid,2,1,1,2,2024-07-31,2024-08-31,4.92
35,3472.0,4340.0,appartement en résidence,Espagne,Nerja,2,1,1,1,2024-07-31,2024-08-31,4.92
36,2463.0,2737.0,appartement,Espagne,Madrid,2,1,1,1,2024-07-31,2024-08-31,4.92
37,2015.0,2289.0,appartement,Espagne,Madrid,3,1,3,1,2024-07-31,2024-08-31,4.93
39,2177.0,3110.0,appartement,Espagne,Madrid,2,1,1,1,2024-07-31,2024-08-31,4.91
40,2232.0,3720.0,appartement,Espagne,Madrid,4,1,2,2,2024-07-31,2024-08-31,4.97
41,1649.0,2998.0,appartement,Espagne,Grenade,4,2,3,1,2024-07-31,2024-08-31,4.91
